,-t1-t2-t3,t1-t2-t3,-t1t2-t3,t1t2-t3,-t1-t2t3,t1-t2t3,-t1t2t3,t1t2t3,
,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;,1,1,1,1,1,1,1,1,

-t1-t2-t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1-t2-t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1-t2-t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1-t2-t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1-t2-t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1-t2-t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1-t2-t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1t2-t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1t2-t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1t2-t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1t2-t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1t2-t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1t2-t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1-t2t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1-t2t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1-t2t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1-t2t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1-t2t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1-t2t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1t2t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1t2t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;-t1t2t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1t2t3p1;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1t2t3p2;,0,0,0,0,0,0,0,0,
-t1-t2-t3p2;t1t2t3p3;,0,0,0,0,0,0,0,0,
-t1-t2-t3p3;,0,0,0,0,0,0,0,0,
t1-t2-t3p1;,1,1,1,1,1,1,1,1,
t1-t2-t3p2;,0,0,0,0,0,0,0,0,
t1-t2-t3p3;,0,0,0,0,0,0,0,0,
-t1t2-t3p1;,0,0,0,0,0,0,0,0,
-t1t2-t3p2;,1,1,1,1,1,1,1,1,
-t1t2-t3p3;,0,0,0,0,0,0,0,0,
t1t2-t3p1;,1,1,1,1,1,1,1,1,
t1t2-t3p2;,0,0,0,0,0,0,0,0,
t1t2-t3p3;,0,0,0,0,0,0,0,0,
-t1-t2t3p1;,0,0,0,0,0,0,0,0,
-t1-t2t3p2;,1,1,1,1,1,1,1,1,
-t1-t2t3p3;,0,0,0,0,0,0,0,0,
t1-t2t3p1;,1,1,1,1,1,1,1,1,
t1-t2t3p2;,0,0,0,0,0,0,0,0,
t1-t2t3p3;,0,0,0,0,0,0,0,0,
-t1t2t3p1;,0,0,0,0,0,0,0,0,
-t1t2t3p2;,1,1,1,1,1,1,1,1,
-t1t2t3p3;,0,0,0,0,0,0,0,0,
t1t2t3p1;,1,1,1,1,1,1,1,1,
t1t2t3p2;,0,0,0,0,0,0,0,0,
t1t2t3p3;,0,0,0,0,0,0,0,0,
